,Nodtyp,EnhetId,AntalbestalldaPortioner,AntalKoptaPortioner,AntalAtande,AntalSaldaPortioner,KoksSvinnGram,ServeringsSvinnGram,TallriksSvinnGram,DW_Source,Manad,Ar,Dag,Vecka
41266,1,406,0,0,323,0,2000,2000,7000,0,1,2022,3,2
41267,1,407,0,0,294,0,200,2300,6200,0,1,2022,3,2
41268,0,2,0,0,89,0,0,1700,800,0,1,2022,4,2
41269,0,34,0,0,130,0,0,2600,2600,0,1,2022,4,2
41270,0,38,0,0,98,0,500,1000,1500,0,1,2022,4,2
41271,0,53,0,0,30,0,0,800,900,0,1,2022,4,2
41272,0,80,0,0,20,0,1000,1000,1000,0,1,2022,4,2
41273,0,83,0,0,79,0,200,200,0,0,1,2022,4,2
41274,0,105,0,0,25,0,3900,1600,1200,0,1,2022,4,2
41275,0,117,0,0,280,0,0,0,300,0,1,2022,4,2
41276,0,141,10,0,10,0,0,607,421,0,1,2022,4,2
41277,0,159,0,0,12,0,0,4300,0,0,1,2022,4,2
41278,0,161,0,0,36,0,0,2100,1100,0,1,2022,4,2
41279,0,183,0,0,27,0,0,1200,1000,0,1,2022,4,2
41280,0,190,0,0,78,0,0,0,1770,0,1,2022,4,2
41281,0,199,0,0,9,0,0,4200,0,0,1,2022,4,2
41282,0,228,0,0,30,0,144,523,0,0,1,2022,4,2
41283,0,258,0,0,9,0,0,4400,0,0,1,2022,4,2
41284,0,268,0,0,50,0,1363,1641,1382,0,1,2022,4,2
41285,0,287,0,0,17,0,2329,4002,523,0,1,2022,4,2
41286,0,290,45,0,42,0,0,800,400,0,1,2022,4,2
41287,0,309,0,0,50,0,2400,1000,2100,0,1,2022,4,2
41288,0,317,0,0,45,0,0,0,203,0,1,2022,4,2
41289,0,334,0,0,151,0,600,0,400,0,1,2022,4,2
41290,0,340,0,0,57,0,0,1800,900,0,1,2022,4,2
41291,1,347,0,0,429,0,3300,3000,7200,0,1,2022,4,2
41292,1,349,0,0,371,0,0,2000,10000,0,1,2022,4,2
41293,1,352,0,0,610,0,1500,12000,13000,0,1,2022,4,2
41294,1,353,0,0,225,0,1000,2100,3800,0,1,2022,4,2
41295,1,354,277,0,270,0,1000,7000,8000,0,1,2022,4,2
41296,1,355,0,0,268,0,800,2000,4500,0,1,2022,4,2
41297,1,356,0,0,310,0,2000,5000,6000,0,1,2022,4,2
41298,1,357,0,0,378,0,1000,4200,6800,0,1,2022,4,2
41299,1,358,0,0,379,0,0,3000,5000,0,1,2022,4,2
41300,1,359,0,0,260,0,0,16000,7000,0,1,2022,4,2
41301,1,360,0,0,369,0,1000,4000,16000,0,1,2022,4,2
41302,1,361,0,0,369,0,1000,5000,15000,0,1,2022,4,2
